[06-Jul-2023 10:45:24 UTC] PHP Notice:  Undefined variable: con in /proj/photosite/controller/index.php on line 12
[06-Jul-2023 10:45:24 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 12
[06-Jul-2023 10:45:37 UTC] PHP Notice:  Undefined variable: con in /proj/photosite/controller/index.php on line 12
[06-Jul-2023 10:45:37 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 12
[06-Jul-2023 10:54:34 UTC] PHP Fatal error:  Cannot use [] for reading in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 10:54:50 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 10:54:50 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 10:58:16 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 10:58:16 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 10:58:32 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 10:58:32 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 11:03:23 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 11:03:23 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 11:03:27 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 11:03:27 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 13
[06-Jul-2023 11:04:00 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 15
[06-Jul-2023 11:04:00 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 15
[06-Jul-2023 11:05:17 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:05:17 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:05:35 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:05:35 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:07:55 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:07:55 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:09:23 UTC] PHP Notice:  Undefined variable: elements in /proj/photosite/tmpl/index.php on line 336
[06-Jul-2023 11:09:23 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:09:23 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:14:05 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:14:05 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:14:19 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:14:19 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:45:57 UTC] PHP Notice:  Undefined variable: elements in /proj/photosite/tmpl/index.php on line 336
[06-Jul-2023 11:45:57 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:45:57 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:47:27 UTC] PHP Notice:  Undefined variable: elements in /proj/photosite/tmpl/index.php on line 336
[06-Jul-2023 11:47:27 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:47:27 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:48:11 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:48:11 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:53:46 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:53:46 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:55:14 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:55:14 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:55:18 UTC] PHP Notice:  Undefined variable: link in /proj/photosite/controller/index.php on line 14
[06-Jul-2023 11:55:18 UTC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /proj/photosite/controller/index.php on line 14
